state,statecode,statenum,sector,secnum,welfare_effect,emp_effect,emp_effect_tot,emp_regcontri_manuf,emp_regcontri_nonmanuf,emp_effect_sec,emp_regcontri,emp_seccontri,emp_regcontri_manuf_scale,emp_regcontri_nonmanuf_scale,emp_regcontri_scale,welfare_effect_indicator,emp_effect_indicator
New Jersey,NJ,30,All industries,0,.18714,.45080227,.0045080227,.69565117,3.1939833,,,,2,4,6,1,1
New Jersey,NJ,30,Non-employment,1,.17829999,,,.69565117,3.1939833,,,,2,4,6,1,1
New Jersey,NJ,30,"Food, Bev., Tob.",2,.1846,-.0082970001,-.0025104943,.69565117,3.1939833,-.0064767739,1.281039,.022990763,2,4,2,1,0
New Jersey,NJ,30,Textiles,3,.16613001,-.042908002,-.0025104943,.69565117,3.1939833,-.043283883,.9913159,.11889691,2,4,2,1,0
New Jersey,NJ,30,"Wood, Paper",4,.18195,-.065228,-.0025104943,.69565117,3.1939833,-.020166513,3.2344711,.18074502,2,4,4,1,0
New Jersey,NJ,30,"Petroleum, Coal",5,.090109996,.0013343,-.0025104943,.69565117,3.1939833,-.0024654288,-.54120404,-.0036973094,2,4,1,1,1
New Jersey,NJ,30,Chemicals,6,.16811,-.10892,-.0025104943,.69565117,3.1939833,-.018591736,5.8585172,.30181438,2,4,5,1,0
New Jersey,NJ,30,"Plastics, Rubber",7,.16309001,-.036507998,-.0025104943,.69565117,3.1939833,-.023946352,1.5245744,.10116267,2,4,3,1,0
New Jersey,NJ,30,Nonmetallic,8,.17043,-.0086698001,-.0025104943,.69565117,3.1939833,-.0084945727,1.0206282,.024023782,2,4,2,1,0
New Jersey,NJ,30,Metal,9,.16124,-.058637001,-.0025104943,.69565117,3.1939833,-.039620578,1.4799633,.16248155,2,4,2,1,0
New Jersey,NJ,30,Machinery,10,.17121001,-.0093211997,-.0025104943,.69565117,3.1939833,-.038382474,.24285041,.025828792,2,4,1,1,0
New Jersey,NJ,30,"Computer, Elect.",11,.10812,-.18461999,-.0025104943,.69565117,3.1939833,-.083799809,2.2031076,.51157701,2,4,3,1,0
New Jersey,NJ,30,Transport Mfg.,12,.18432,-.012697,-.0025104943,.69565117,3.1939833,-.028143838,.45114672,.035183042,2,4,1,1,0
New Jersey,NJ,30,Furniture Mfg.,13,.16246,-.16738001,-.0025104943,.69565117,3.1939833,-.047512107,3.5228918,.46380547,2,4,4,1,0
New Jersey,NJ,30,Wholesale and Retail,14,.18907,.13434,.01152654,.69565117,3.1939833,.02933852,4.5789628,.37225369,2,4,4,1,1
New Jersey,NJ,30,Construction,15,.19257,.078501999,.01152654,.69565117,3.1939833,.032239377,2.4349725,.21752761,2,4,3,1,1
New Jersey,NJ,30,"Transport Serv.,",16,.19291,.11118,.01152654,.69565117,3.1939833,.034763623,3.1981707,.30807775,2,4,4,1,1
New Jersey,NJ,30,Information,17,.18869001,.064497001,.01152654,.69565117,3.1939833,.011918599,5.411458,.17872001,2,4,5,1,1
New Jersey,NJ,30,Finance,18,.19531,.049652997,.01152654,.69565117,3.1939833,.0097977379,5.067802,.13758756,2,4,5,1,1
New Jersey,NJ,30,Real Estate,19,.20023,.024408,.01152654,.69565117,3.1939833,.017246898,1.415211,.067634128,2,4,2,1,1
New Jersey,NJ,30,Education,20,.20531,.11698999,.01152654,.69565117,3.1939833,.035525277,3.293148,.32417715,2,4,4,1,1
New Jersey,NJ,30,Healthcare,21,.20245001,.20589,.01152654,.69565117,3.1939833,.077494033,2.6568496,.57051742,2,4,3,1,1
New Jersey,NJ,30,Hospitality,22,.19386999,.072403997,.01152654,.69565117,3.1939833,.026819488,2.6996787,.20063016,2,4,3,1,1
New Jersey,NJ,30,"Entert., Prof.",23,.19367,.29479,.01152654,.69565117,3.1939833,.085739359,3.438211,.81685776,2,4,4,1,1
New Mexico,NM,31,All industries,0,.18686999,.23979945,.0023979945,-.40419129,.92476726,,,,1,2,6,1,1
New Mexico,NM,31,Non-employment,1,.17197999,,,-.40419129,.92476726,,,,1,2,6,1,1
New Mexico,NM,31,"Food, Bev., Tob.",2,.19625001,-.0018918,.001458662,-.40419129,.92476726,-.0064767739,.29208985,.0052421265,1,2,1,1,0
New Mexico,NM,31,Textiles,3,-.21754,-.0063100001,.001458662,-.40419129,.92476726,-.043283883,.14578174,.01748484,1,2,1,0,0
New Mexico,NM,31,"Wood, Paper",4,.13646001,-.0073536001,.001458662,-.40419129,.92476726,-.020166513,.36464411,.020376626,1,2,1,1,0
New Mexico,NM,31,"Petroleum, Coal",5,.052537002,-.000021648999,.001458662,-.40419129,.92476726,-.0024654288,.008781028,.000059988794,1,2,1,1,0
New Mexico,NM,31,Chemicals,6,.13527,-.0020566001,.001458662,-.40419129,.92476726,-.018591736,.11061905,.0056987829,1,2,1,1,0
New Mexico,NM,31,"Plastics, Rubber",7,-.047444001,-.0002567,.001458662,-.40419129,.92476726,-.023946352,.010719796,.00071130879,1,2,1,0,0
New Mexico,NM,31,Nonmetallic,8,.18188,-.0049956003,.001458662,-.40419129,.92476726,-.0084945727,.58809322,.013842674,1,2,2,1,0
New Mexico,NM,31,Metal,9,.14933001,-.0055558002,.001458662,-.40419129,.92476726,-.039620578,.14022511,.015394972,1,2,1,1,0
New Mexico,NM,31,Machinery,10,.16015001,-.0063642999,.001458662,-.40419129,.92476726,-.038382474,.16581266,.017635303,1,2,1,1,0
New Mexico,NM,31,"Computer, Elect.",11,.11362,-.033738002,.001458662,-.40419129,.92476726,-.083799809,.40260237,.093487091,1,2,1,1,0
New Mexico,NM,31,Transport Mfg.,12,.17496,-.0037401998,.001458662,-.40419129,.92476726,-.028143838,.13289587,.010363992,1,2,1,1,0
New Mexico,NM,31,Furniture Mfg.,13,.15319,-.021649001,.001458662,-.40419129,.92476726,-.047512107,.4556523,.059988797,1,2,1,1,0
New Mexico,NM,31,Wholesale and Retail,14,.19223,.016923999,.0033373269,-.40419129,.92476726,.02933852,.57685256,.046896096,1,2,2,1,1
New Mexico,NM,31,Construction,15,.19701999,.036465999,.0033373269,-.40419129,.92476726,.032239377,1.1311013,.10104662,1,2,2,1,1
New Mexico,NM,31,"Transport Serv.,",16,.18753,.015585,.0033373269,-.40419129,.92476726,.034763623,.44831344,.043185752,1,2,1,1,1
New Mexico,NM,31,Information,17,.19781999,.0059666,.0033373269,-.40419129,.92476726,.011918599,.50061256,.016533339,1,2,2,1,1
New Mexico,NM,31,Finance,18,.20537999,.0065281,.0033373269,-.40419129,.92476726,.0097977379,.66628641,.018089246,1,2,2,1,1
New Mexico,NM,31,Real Estate,19,.19602001,.012712,.0033373269,-.40419129,.92476726,.017246898,.73706007,.035224721,1,2,2,1,1
New Mexico,NM,31,Education,20,.20472001,.039408002,.0033373269,-.40419129,.92476726,.035525277,1.1092947,.10919885,1,2,2,1,1
New Mexico,NM,31,Healthcare,21,.21125001,.068020001,.0033373269,-.40419129,.92476726,.077494033,.87774497,.18848218,1,2,2,1,1
New Mexico,NM,31,Hospitality,22,.20137,.019693,.0033373269,-.40419129,.92476726,.026819488,.73427951,.054568946,1,2,2,1,1
New Mexico,NM,31,"Entert., Prof.",23,.20034,.11242999,.0033373269,-.40419129,.92476726,.085739359,1.3112997,.31154147,1,2,2,1,1
New York,NY,32,All industries,0,.19445001,1.0941447,.010941447,2.0449605,8.1086769,,,,3,5,6,1,1
New York,NY,32,Non-employment,1,.18058001,,,2.0449605,8.1086769,,,,3,5,6,1,1
New York,NY,32,"Food, Bev., Tob.",2,.19362999,-.0039356002,-.007379937,2.0449605,8.1086769,-.0064767739,.60764819,.010905441,3,5,2,1,0
New York,NY,32,Textiles,3,.17478,-.19999,-.007379937,2.0449605,8.1086769,-.043283883,4.6204262,.55416685,3,5,4,1,0
New York,NY,32,"Wood, Paper",4,.18258999,-.026998,-.007379937,2.0449605,8.1086769,-.020166513,1.3387541,.074810728,3,5,2,1,0
New York,NY,32,"Petroleum, Coal",5,.11635,.000032386,-.007379937,2.0449605,8.1086769,-.0024654288,-.013136052,-.00008974073,3,5,1,1,1
New York,NY,32,Chemicals,6,.16962001,-.11515,-.007379937,2.0449605,8.1086769,-.018591736,6.1936126,.31907755,3,5,5,1,0
New York,NY,32,"Plastics, Rubber",7,.097854003,-.23966999,-.007379937,2.0449605,8.1086769,-.023946352,10.008622,.66411906,3,5,6,1,0
New York,NY,32,Nonmetallic,8,.16468,-.0092981001,-.007379937,2.0449605,8.1086769,-.0084945727,1.094593,.025764786,3,5,2,1,0
New York,NY,32,Metal,9,.15436999,-.16654,-.007379937,2.0449605,8.1086769,-.039620578,4.203371,.46147785,3,5,4,1,0
New York,NY,32,Machinery,10,.15881,-.2388,-.007379937,2.0449605,8.1086769,-.038382474,6.2215896,.66170835,3,5,5,1,0
New York,NY,32,"Computer, Elect.",11,.12352,-.68358004,-.007379937,2.0449605,8.1086769,-.083799809,8.1572981,1.8941818,3,5,5,1,0
New York,NY,32,Transport Mfg.,12,.17425001,-.042868998,-.007379937,2.0449605,8.1086769,-.028143838,1.5232109,.11878884,3,5,3,1,0
New York,NY,32,Furniture Mfg.,13,.18032999,-.10534,-.007379937,2.0449605,8.1086769,-.047512107,2.217119,.29189429,3,5,3,1,0
New York,NY,32,Wholesale and Retail,14,.19641,.19814,.02926283,2.0449605,8.1086769,.02933852,6.7535782,.54904234,3,5,5,1,1
New York,NY,32,Construction,15,.20061,.18222,.02926283,2.0449605,8.1086769,.032239377,5.6520944,.50492835,3,5,5,1,1
New York,NY,32,"Transport Serv.,",16,.20927,.38306999,.02926283,2.0449605,8.1086769,.034763623,11.019277,1.06148,3,5,6,1,1
New York,NY,32,Information,17,.20553,.14723,.02926283,2.0449605,8.1086769,.011918599,12.352962,.40797168,3,5,6,1,1
New York,NY,32,Finance,18,.19807,.064003006,.02926283,2.0449605,8.1086769,.0097977379,6.5324268,.17735118,3,5,5,1,1
New York,NY,32,Real Estate,19,.20542,.12195,.02926283,2.0449605,8.1086769,.017246898,7.0708365,.33792123,3,5,5,1,1
